0 -4.4617e-07 -0.0262353     -0.0527746 -0.000952243      -0.053995 -0.0338225
2005 1.64393e-07 1.50253e-06     -2.60092e-05 -0.000872261      -0.002244 -0.0112431
2006 1.11646e-09 1.48582e-06     -0.000144721 -0.000828366      -0.00228736 -0.011191
2007 -1.52603e-07 1.44823e-06     -0.000244085 -0.00077409      -0.00231139 -0.0111338
2008 -2.95528e-07 1.39323e-06     -0.00032716 -0.000716895      -0.00232005 -0.0110785
2009 -4.27602e-07 1.32343e-06     -0.000399723 -0.000661446      -0.00231972 -0.0110289
2010 -5.49316e-07 1.24017e-06     -0.000468808 -0.000608651      -0.00231779 -0.0109855
2011 -6.60946e-07 1.14347e-06     -0.000540918 -0.000555344      -0.002321 -0.0109443
2012 -7.61795e-07 1.03232e-06     -0.000620137 -0.000494706      -0.00233364 -0.0108984
2013 -8.49602e-07 9.05255e-07     -0.000706434 -0.000417514      -0.0023559 -0.010838
2014 -9.20259e-07 7.61345e-07     -0.000794504 -0.000314129      -0.00238281 -0.0107532
2015 -9.67969e-07 6.01195e-07     -0.000873482 -0.000177073      -0.00240388 -0.010636
2016 -9.85927e-07 4.27964e-07     -0.000927869 -3.79692e-06      -0.00240396 -0.0104831
2017 -9.67505e-07 2.48061e-07     -0.000939805 0.000200918      -0.0023654 -0.0102982
2018 -9.0781e-07 7.12774e-08     -0.000892585 0.000423623      -0.00227137 -0.0100938
2019 -8.05344e-07 -8.98333e-08     -0.000774875 0.000642597      -0.00210996 -0.00989003
2020 -6.63384e-07 -2.21381e-07     -0.000584761 0.000830359      -0.00187807 -0.00971336
2021 -4.90686e-07 -3.10242e-07     -0.000332482 0.000958203      -0.00158426 -0.00959169
2022 -3.01181e-07 -3.46471e-07     -4.08197e-05 0.00100201      -0.00124923 -0.00954902
2023 -1.12517e-07 -3.25519e-07     0.000257462 0.000948067      -0.000903592 -0.00959982
2024 5.63697e-08 -2.49676e-07     0.000524968 0.000797247      -0.000582882 -0.00974482
2025 1.88241e-07 -1.28295e-07     0.000726785 0.000566314      -0.000320848 -0.00996959
2026 2.7044e-07 2.33832e-08     0.000837657 0.000285509      -0.000142548 -0.0102466
2027 2.96975e-07 1.86644e-07     0.000847292 -7.16552e-06      -5.91326e-05 -0.0105405
2028 2.69288e-07 3.42415e-07     0.000762248 -0.000273665      -6.58282e-05 -0.0108153
2029 1.95508e-07 4.74364e-07     0.000603794 -0.000483582      -0.000143738 -0.0110419
2030 8.83993e-08 5.71234e-07     0.000402294 -0.000619694      -0.000265007 -0.0112033
2031 -3.74243e-08 6.27882e-07     0.000189755 -0.0006799      -0.000399839 -0.0112969
2032 -1.68271e-07 6.4489e-07     -7.30367e-06 -0.000675176      -0.000523324 -0.0113325
2033 -2.93425e-07 6.26992e-07     -0.000172629 -0.000624416      -0.000620152 -0.0113277
2034 -4.06049e-07 5.8092e-07     -0.000301524 -0.000547974      -0.000686044 -0.0113018
2035 -5.02885e-07 5.13339e-07     -0.000398655 -0.000461969      -0.000725868 -0.0112703
2036 -5.83074e-07 4.29461e-07     -0.000473527 -0.000375016      -0.000749448 -0.0112414
2037 -6.46646e-07 3.32612e-07     -0.000535422 -0.00028803      -0.000766733 -0.0112159
2038 -6.93237e-07 2.24682e-07     -0.000589536 -0.000196679      -0.000783983 -0.011189
2039 -7.21443e-07 1.07103e-07     -0.000635411 -9.51739e-05      -0.00080204 -0.011154
2040 -7.28896e-07 -1.8107e-08     -0.000667774 2.01419e-05      -0.000816857 -0.0111057
2041 -7.12922e-07 -1.4764e-07     -0.000679016 0.000148637      -0.000821648 -0.0110427
2042 -6.71418e-07 -2.76735e-07     -0.000662108 0.000285114      -0.000809539 -0.0109677
2043 -6.03628e-07 -3.99524e-07     -0.000612824 0.000421093      -0.000775696 -0.0108866
2044 -5.10585e-07 -5.09687e-07     -0.000530696 0.000546783      -0.000718346 -0.010807
2045 -3.95176e-07 -6.01168e-07     -0.000418779 0.000652882      -0.000638719 -0.0107362
2046 -2.61935e-07 -6.68767e-07     -0.000282776 0.000731648      -0.000540382 -0.0106808
2047 -1.16689e-07 -7.08564e-07     -0.00013017 0.000777273      -0.000428531 -0.0106457
2048 3.38082e-08 -7.18197e-07     3.02656e-05 0.000785944      -0.000309578 -0.0106342
2049 1.82284e-07 -6.97093e-07     0.00018868 0.000756086      -0.000190956 -0.0106481
2050 3.21419e-07 -6.4664e-07     0.000334505 0.000688962      -8.07794e-05 -0.0106865
2051 4.44461e-07 -5.70257e-07     0.000457403 0.000589379      1.30179e-05 -0.0107455
2052 5.45945e-07 -4.73195e-07     0.000548909 0.000465904      8.41517e-05 -0.0108183
2053 6.22347e-07 -3.62003e-07     0.00060437 0.000330016      0.000129668 -0.0108956
2054 6.72474e-07 -2.43639e-07     0.000624328 0.000194003      0.000151103 -0.0109677
2055 6.97343e-07 -1.24445e-07     0.00061453 6.8074e-05      0.000154354 -0.011027
2056 6.99514e-07 -9.2879e-09     0.000584106 -4.23022e-05      0.000147924 -0.0110705
2057 6.82032e-07 9.87906e-08     0.000542264 -0.000137643      0.000139858 -0.0111003
2058 6.47321e-07 1.98232e-07     0.000494588 -0.000223461      0.000134418 -0.0111231
2059 5.96507e-07 2.87983e-07     0.000440416 -0.000307036      0.000129836 -0.0111466
2060 5.29495e-07 3.66222e-07     0.000372611 -0.000392924      0.000118326 -0.0111757
2061 4.45909e-07 4.29319e-07     0.000280211 -0.000478846      8.87418e-05 -0.0112082
2062 3.46641e-07 4.71549e-07     0.000153367 -0.000553717      3.12937e-05 -0.0112338
2063 2.35485e-07 4.85848e-07     -1.10137e-05 -0.000598929      -5.72123e-05 -0.0112352
2064 1.20189e-07 4.65558e-07     -0.000204981 -0.000592927      -0.000169499 -0.0111926
2065 1.2409e-08 4.06732e-07     -0.000408365 -0.000517845      -0.000286923 -0.0110897
2066 -7.36573e-08 3.10278e-07     -0.000591518 -0.000366162      -0.000382243 -0.0109203
2067 -1.23737e-07 1.8324e-07     -0.000721475 -0.000145136      -0.000425509 -0.0106921
2068 -1.26454e-07 3.86891e-08     -0.000769834 0.000122558      -0.000391459 -0.0104267
2069 -7.60103e-08 -1.05885e-07     -0.000720073 0.00040241      -0.00026625 -0.0101566
2070 2.61574e-08 -2.31355e-07     -0.000572139 0.000654962      -5.1535e-05 -0.00991833
2071 1.71219e-07 -3.20245e-07     -0.000342996 0.000844077      0.000235289 -0.00974456
2072 3.44335e-07 -3.59719e-07     -6.30832e-05 0.000944338      0.000564653 -0.00965754
2073 5.2721e-07 -3.43574e-07     0.000230238 0.000945651      0.000901116 -0.00966488
2074 7.01189e-07 -2.72832e-07     0.000500339 0.000854091      0.0012106 -0.00975902
2075 8.50141e-07 -1.54921e-07     0.000718096 0.00068911      0.00146665 -0.00992014
2076 9.62546e-07 -1.76065e-09     0.000866244 0.000478222      0.00165439 -0.0101213
2077 1.03244e-06 1.72681e-07     0.000940598 0.000250753      0.0017714 -0.0103345
2078 1.05921e-06 3.5478e-07     0.000948377 3.22614e-05      0.00182598 -0.0105356
2079 1.04645e-06 5.33113e-07     0.000904511 -0.000159232      0.0018335 -0.0107082
2080 1.00035e-06 6.99507e-07     0.000827153 -0.00031473      0.00181202 -0.0108448
2081 9.28024e-07 8.49242e-07     0.000733519 -0.00043361      0.00177843 -0.0109456
2082 8.36015e-07 9.80559e-07     0.00063687 -0.000521472      0.00174555 -0.0110172
2083 7.29447e-07 1.09372e-06     0.000544971 -0.000587256      0.00172073 -0.0110689
2084 6.11634e-07 1.18995e-06     0.000459979 -0.000640362      0.0017058 -0.0111106
2085 4.84235e-07 1.27038e-06     0.000379458 -0.000688318      0.00169802 -0.0111505
2086 3.47772e-07 1.3354e-06     0.000298075 -0.000735277      0.00169174 -0.0111933
2087 2.0235e-07 1.38424e-06     0.000209562 -0.00078142      0.00168019 -0.0112399
2088 4.84089e-08 1.415e-06     0.000108588 -0.000823199      0.00165732 -0.0112876
2089 -1.12643e-07 1.42494e-06     -7.73874e-06 -0.000854262      0.00161917 -0.0113305
2090 -2.78016e-07 1.41112e-06     -0.000138906 -0.000866828      0.00156487 -0.0113615
2091 -4.43417e-07 1.37103e-06     -0.000280677 -0.000853285      0.00149698 -0.0113731
2092 -6.03234e-07 1.30332e-06     -0.000425418 -0.000807755      0.00142133 -0.0113589
2093 -7.51001e-07 1.20835e-06     -0.000563001 -0.0007274      0.00134624 -0.0113151
2094 -8.80073e-07 1.08858e-06     -0.000682132 -0.000613273      0.00128142 -0.0112412
2095 -9.84405e-07 9.48612e-07     -0.000771917 -0.000470607      0.00123662 -0.0111404
2096 -1.05934e-06 7.94968e-07     -0.000823424 -0.000308504      0.00122026 -0.0110192
2097 -1.10226e-06 6.35594e-07     -0.000831042 -0.00013906      0.00123818 -0.010887
2098 -1.11308e-06 4.79109e-07     -0.000793437 2.3953e-05      0.00129276 -0.0107551
2099 -1.09436e-06 3.33941e-07     -0.000713989 0.000166677      0.00138248 -0.0106349
2100 -1.05121e-06 2.07425e-07     -0.000600632 0.000276838      0.00150195 -0.010537
2101 -9.90814e-07 1.04992e-07     -0.000465109 0.000345265      0.00164245 -0.0104696
2102 -9.21727e-07 2.95505e-08     -0.000321728 0.000367075      0.00179292 -0.0104377
2103 -8.52963e-07 -1.88557e-08     -0.000185773 0.000342356      0.00194127 -0.0104421
2104 -7.93032e-07 -4.30694e-08     -7.17593e-05 0.000276258      0.00207579 -0.0104796
2105 -7.49007e-07 -4.85082e-08     8.24744e-06 0.000178485      0.00218655 -0.0105433
2106 -7.25743e-07 -4.25535e-08     4.60451e-05 6.22437e-05      0.0022666 -0.0106232
2107 -7.25341e-07 -3.37057e-08     3.82937e-05 -5.72243e-05      0.00231279 -0.0107078
2108 -7.46918e-07 -3.05978e-08     -1.30176e-05 -0.000164381      0.00232617 -0.0107849
2109 -7.86732e-07 -4.09757e-08     -0.000100695 -0.000245223      0.00231197 -0.0108437
2110 -8.38642e-07 -7.07603e-08     -0.000213077 -0.000289029      0.00227898 -0.0108759
2111 -8.94883e-07 -1.2331e-07     -0.000335367 -0.000289817      0.00223851 -0.0108768
2112 -9.4708e-07 -1.98986e-07     -0.000451467 -0.000247307      0.00220289 -0.0108464
2113 -9.87377e-07 -2.95108e-07     -0.000546144 -0.000167193      0.00218372 -0.0107893
2114 -1.00954e-06 -4.06338e-07     -0.000607276 -6.05726e-05      0.00218999 -0.0107146
2115 -1.00989e-06 -5.25468e-07     -0.000627809 5.74855e-05      0.00222648 -0.0106343
2116 -9.87837e-07 -6.44534e-07     -0.000607094 0.000170119      0.0022927 -0.0105618
2117 -9.45988e-07 -7.56107e-07     -0.000551302 0.000261301      0.00238256 -0.0105093
2118 -8.89738e-07 -8.54549e-07     -0.000472771 0.000318529      0.00248499 -0.0104861
2119 -8.26352e-07 -9.37055e-07     -0.000388325 0.000335143      0.00258551 -0.010496
2120 -7.63677e-07 -1.00428e-06     -0.00031675 0.000311906      0.0026684 -0.0105365
2121 -7.08649e-07 -1.06044e-06     -0.000275749 0.000257564      0.00271938 -0.0105985
2122 -6.65802e-07 -1.11276e-06     -0.000278723 0.000188256      0.00272843 -0.0106664
2123 -6.35999e-07 -1.17042e-06     -0.000331777 0.000125673      0.00269226 -0.0107205
2124 -6.15648e-07 -1.24286e-06     -0.00043138 9.40189e-05      0.00261632 -0.0107396
2125 -5.9659e-07 -1.33781e-06     -0.000563194 0.0001159      0.00251558 -0.0107042
2126 -5.66859e-07 -1.45925e-06     -0.000702633 0.000207536      0.00241383 -0.0106018
2127 -5.12368e-07 -1.60568e-06     -0.000817603 0.000374033      0.00234098 -0.01043
2128 -4.19413e-07 -1.76908e-06     -0.000873584 0.000605771      0.00232824 -0.0102002
2129 -2.77659e-07 -1.93514e-06     -0.000840592 0.000877211      0.00240174 -0.00993817
2130 -8.30492e-08 -2.08481e-06     -0.000700818 0.00114915      0.00257558 -0.00968162
2131 1.60105e-07 -2.19735e-06     -0.000455079 0.0013749      0.00284609 -0.0094742
2132 4.38529e-07 -2.25421e-06     -0.000125975 0.0015096      0.00318938 -0.00935669
2133 7.31366e-07 -2.24318e-06     0.000243913 0.00152092      0.0035634 -0.0093571
2134 1.01351e-06 -2.16161e-06     0.000599278 0.00139829      0.00391517 -0.00948231
2135 1.26032e-06 -2.01777e-06     0.000883702 0.00115772      0.00419189 -0.00971393
2136 1.45275e-06 -1.82983e-06     0.00105291 0.000840323      0.00435346 -0.0100103
2137 1.58141e-06 -1.62238e-06     0.00108606 0.000504007      0.00438284 -0.0103145
2138 1.64863e-06 -1.4212e-06     0.000991682 0.000210202      0.00429131 -0.0105678
2139 1.6677e-06 -1.24772e-06     0.000806003 9.02974e-06      0.00411636 -0.010723
2140 1.65942e-06 -1.11438e-06     0.000584011 -7.2887e-05      0.00391276 -0.0107565
2141 1.64691e-06 -1.02236e-06     0.000385416 -3.83968e-05      0.00373897 -0.010673
2142 1.65e-06 -9.62139e-07     0.00025965 8.21616e-05      0.00364269 -0.0105039
2143 1.68076e-06 -9.16653e-07     0.000234163 0.00024019      0.00364987 -0.0102977
2144 1.7412e-06 -8.66162e-07     0.000309262 0.000382396      0.00376 -0.0101067
2145 1.82376e-06 -7.93345e-07     0.000460574 0.000464561      0.00394877 -0.00997427
2146 1.91414e-06 -6.87278e-07     0.000647834 0.000461578      0.00417671 -0.00992469
2147 1.9954e-06 -5.45354e-07     0.000826888 0.000371276      0.00440085 -0.00996014
2148 2.05223e-06 -3.72881e-07     0.00096113 0.000211667      0.00458576 -0.0100633
2149 2.07413e-06 -1.80812e-07     0.00102923 1.33053e-05      0.00471086 -0.0102048
2150 2.05694e-06 1.75207e-08     0.00102758 -0.000190349      0.00477271 -0.0103527
2151 2.00246e-06 2.0963e-07     0.000967664 -0.000371553      0.00478238 -0.0104807
2152 1.91681e-06 3.86234e-07     0.000870128 -0.000513716      0.00475964 -0.0105731
2153 1.80809e-06 5.4233e-07     0.000757697 -0.000612857      0.00472619 -0.0106265
2154 1.68405e-06 6.76979e-07     0.000649164 -0.000675588      0.00469988 -0.0106477
2155 1.55048e-06 7.92152e-07     0.000555647 -0.000714915      0.00469118 -0.0106495
2156 1.41047e-06 8.911e-07     0.000479502 -0.000745399      0.00470221 -0.0106461
2157 1.26449e-06 9.76766e-07     0.000415525 -0.000778863      0.00472781 -0.0106493
2158 1.11127e-06 1.05058e-06     0.000353744 -0.000821458      0.00475823 -0.0106657
2159 9.48999e-07 1.11188e-06     0.00028301 -0.000872401      0.00478238 -0.0106953
2160 7.76675e-07 1.15804e-06     0.000194652 -0.000924504      0.00479119 -0.0107319
2161 5.95119e-07 1.18527e-06     8.54703e-05 -0.000966356      0.0047804 -0.0107653
2162 4.07482e-07 1.1898e-06     -4.06529e-05 -0.000985787      0.0047521 -0.0107842
2163 2.19008e-07 1.16931e-06     -0.000173112 -0.000973888      0.0047146 -0.0107796
2164 3.6058e-08 1.12395e-06     -0.000297124 -0.000928465      0.00468032 -0.0107484
2165 -1.35383e-07 1.0568e-06     -0.000398012 -0.000855734      0.00466213 -0.0106945
2166 -2.91275e-07 9.7333e-07     -0.000466057 -0.000769336      0.00466903 -0.0106288
2167 -4.30632e-07 8.80131e-07     -0.000500239 -0.00068658      0.00470282 -0.0105656
2168 -5.55718e-07 7.83025e-07     -0.000509285 -0.000622883      0.00475694 -0.010518
2169 -6.71128e-07 6.85388e-07     -0.000509226 -0.000586256      0.0048184 -0.0104932
2170 -7.82001e-07 5.8723e-07     -0.000517916 -0.000574018      0.00487239 -0.0104895
2171 -8.91943e-07 4.85488e-07     -0.000548291 -0.000573318      0.004908 -0.0104965
2172 -1.00144e-06 3.75535e-07     -0.000602918 -0.000565707      0.00492291 -0.0104994
2173 -1.10747e-06 2.53431e-07     -0.000672144 -0.000534431      0.00492498 -0.0104843
2174 -1.20452e-06 1.18071e-07     -0.000737006 -0.00047178      0.00492969 -0.0104454
2175 -1.28689e-06 -2.7636e-08     -0.000776244 -0.000383591      0.0049541 -0.0103879
2176 -1.35128e-06 -1.7717e-07     -0.000775074 -0.000288811      0.00500943 -0.0103282
2177 -1.39889e-06 -3.2239e-07     -0.000732449 -0.00021378      0.00509493 -0.0102879
2178 -1.43597e-06 -4.56538e-07     -0.000663882 -0.000182937      0.0051959 -0.0102865
2179 -1.47251e-06 -5.7723e-07     -0.000598355 -0.000209116      0.00528672 -0.0103325
2180 -1.51928e-06 -6.88316e-07     -0.000569958 -0.000286954      0.00533854 -0.0104185
2181 -1.58415e-06 -7.99817e-07     -0.000606866 -0.000392001      0.00532892 -0.0105208
2182 -1.66888e-06 -9.25779e-07     -0.000721272 -0.000486191      0.00525046 -0.0106047
2183 -1.76736e-06 -1.08056e-06     -0.000903736 -0.000528147      0.00511519 -0.0106343
2184 -1.86618e-06 -1.27463e-06     -0.00112389 -0.000485171      0.00495316 -0.010583
2185 -1.94733e-06 -1.51112e-06     -0.00133746 -0.000343181      0.00480552 -0.010442
2186 -1.99229e-06 -1.78421e-06     -0.00149748 -0.000111609      0.00471409 -0.0102238
2187 -1.98656e-06 -2.07977e-06     -0.00156639 0.000178149      0.00471046 -0.00996043
2188 -1.92323e-06 -2.37814e-06     -0.00152564 0.00048011      0.00480773 -0.00969558
2189 -1.80475e-06 -2.65838e-06     -0.00138029 0.000744697      0.00499708 -0.00947466
2190 -1.64252e-06 -2.90269e-06     -0.00115757 0.00093027      0.00524972 -0.00933411
2191 -1.45439e-06 -3.10016e-06     -0.000900403 0.00101231      0.00552353 -0.0092934
2192 -1.26086e-06 -3.24887e-06     -0.000657638 0.000988211      0.00577236 -0.0093512
2193 -1.0808e-06 -3.35599e-06     -0.000473622 0.000877073      0.00595564 -0.00948619
2194 -9.27669e-07 -3.43605e-06     -0.00037945 0.00071496      0.00604622 -0.00966197
2195 -8.06973e-07 -3.50782e-06     -0.000387465 0.000547197      0.00603506 -0.00983453
2196 -7.15341e-07 -3.59048e-06     -0.000489728 0.000419492      0.00593217 -0.00996049
2197 -6.41267e-07 -3.69986e-06     -0.00066026 0.000369676      0.00576415 -0.0100047
2198 -5.67263e-07 -3.8455e-06     -0.00086023 0.000421428      0.0055691 -0.00994595
2199 -4.7296e-07 -4.02879e-06     -0.0010449 0.000580798      0.00539001 -0.00977959
2200 -3.3858e-07 -4.24256e-06     -0.00117106 0.000835797      0.00526791 -0.00951797
2201 -1.48201e-07 -4.47205e-06     -0.00120374 0.00115883      0.00523573 -0.00918781
2202 1.07663e-07 -4.697e-06     -0.00112125 0.00151139      0.00531371 -0.00882577
2203 4.30538e-07 -4.89449e-06     -0.00091792 0.00185007      0.00550707 -0.0084728
2204 8.13668e-07 -5.04212e-06     -0.000604332 0.002133      0.00580593 -0.00816819
2205 1.24288e-06 -5.12088e-06     -0.000205082 0.0023256      0.00618743 -0.00794434
2206 1.69843e-06 -5.11755e-06     0.000245284 0.00240491      0.00661957 -0.00782277
2207 2.15748e-06 -5.02605e-06     0.000707478 0.0023619      0.00706601 -0.00781209
2208 2.59684e-06 -4.84789e-06     0.00114289 0.00220164      0.00749111 -0.00790789
2209 2.99551e-06 -4.59149e-06     0.00151843 0.00194147      0.00786429 -0.00809441
2210 3.33673e-06 -4.27082e-06     0.00181011 0.00160773      0.00816333 -0.00834764
2211 3.60936e-06 -3.90339e-06     0.00200503 0.0012316      0.00837623 -0.00863905
2212 3.80833e-06 -3.50807e-06     0.0021017 0.000844775      0.00850142 -0.00893954
2213 3.93439e-06 -3.10303e-06     0.00210887 0.00047562      0.00854675 -0.009223
2214 3.99318e-06 -2.70395e-06     0.00204309 0.000146133      0.00852732 -0.00946905
2215 3.99376e-06 -2.3228e-06     0.0019257 -0.000129869      0.00846274 -0.00966472
2216 3.94703e-06 -1.96732e-06     0.00177938 -0.000347318      0.00837404 -0.00980502
2217 3.86405e-06 -1.64097e-06     0.00162511 -0.000509231      0.00828086 -0.00989238
2218 3.75465e-06 -1.3436e-06     0.0014795 -0.000625037      0.00819912 -0.00993524
2219 3.62642e-06 -1.07242e-06     0.00135328 -0.000708202      0.00813946 -0.00994594
2220 3.4842e-06 -8.23186e-07     0.0012506 -0.000773569      0.00810665 -0.00993834
2221 3.33006e-06 -5.91488e-07     0.00116952 -0.000834828      0.00809992 -0.00992559
2222 3.16369e-06 -3.73757e-07     0.00110336 -0.000902486      0.00811402 -0.00991824
2223 2.98321e-06 -1.68028e-07     0.00104247 -0.0009826      0.00814084 -0.00992313
2224 2.78604e-06 2.56998e-08     0.00097634 -0.00107636      0.00817114 -0.00994287
2225 2.56981e-06 2.0548e-07     0.000895497 -0.00118047      0.00819624 -0.00997616
2226 2.33313e-06 3.67768e-07     0.000792969 -0.00128813      0.0082093 -0.0100185
2227 2.07617e-06 5.08008e-07     0.000665243 -0.00139037      0.00820619 -0.0100634
2228 1.80088e-06 6.21332e-07     0.000512618 -0.00147759      0.00818582 -0.0101036
2229 1.51103e-06 7.03286e-07     0.00033903 -0.00154095      0.00815009 -0.0101319
2230 1.21187e-06 7.50474e-07     0.000151421 -0.00157358      0.00810344 -0.0101427
2231 9.09748e-07 7.61041e-07     -4.12428e-05 -0.0015715      0.00805207 -0.0101326
2232 6.11433e-07 7.34954e-07     -0.000229184 -0.00153406      0.00800302 -0.0101005
2233 3.23501e-07 6.7403e-07     -0.000403096 -0.00146395      0.00796313 -0.0100482
2234 5.1731e-08 5.8173e-07     -0.000555308 -0.00136667      0.00793803 -0.0099798
2235 -1.99354e-07 4.62762e-07     -0.000680621 -0.00124961      0.00793143 -0.00990083
2236 -4.26738e-07 3.22561e-07     -0.000776643 -0.00112089      0.00794476 -0.00981756
2237 -6.28947e-07 1.66763e-07     -0.000843568 -0.000988266      0.00797727 -0.00973595
2238 -8.05892e-07 7.69839e-10     -0.000883508 -0.000858343      0.00802662 -0.00966097
2239 -9.5861e-07 -1.70541e-07     -0.000899642 -0.0007363      0.00808953 -0.00959629
2240 -1.08901e-06 -3.42946e-07     -0.000895521 -0.000626154      0.0081624 -0.00954449
2241 -1.19971e-06 -5.12915e-07     -0.000874825 -0.000531312      0.00824159 -0.00950742
2242 -1.29395e-06 -6.77654e-07     -0.000841682 -0.000455027      0.00832322 -0.00948661
2243 -1.37559e-06 -8.35255e-07     -0.000801349 -0.000400388      0.00840267 -0.0094833
2244 -1.449e-06 -9.84978e-07     -0.000760881 -0.000369614      0.00847409 -0.00949782
2245 -1.51882e-06 -1.12762e-06     -0.000729237 -0.000362738      0.00853041 -0.00952859
2246 -1.58936e-06 -1.26583e-06     -0.000716451 -0.000376121      0.00856406 -0.00957097
2247 -1.66378e-06 -1.40414e-06     -0.000731786 -0.000401424      0.00856862 -0.00961651
2248 -1.7432e-06 -1.54859e-06     -0.000781213 -0.00042569      0.00854089 -0.00965323
2249 -1.82593e-06 -1.70585e-06     -0.000864931 -0.000432879      0.00848291 -0.00966707
2250 -1.90712e-06 -1.88195e-06     -0.000975795 -0.000406753      0.00840313 -0.0096445
2251 -1.97904e-06 -2.08082e-06     -0.00109936 -0.000334502      0.00831605 -0.0095757
2252 -2.03216e-06 -2.30307e-06     -0.00121583 -0.000210128      0.00824034 -0.0094574
2253 -2.05658e-06 -2.54527e-06     -0.00130357 -3.66053e-05      0.0081955 -0.0092945
2254 -2.0439e-06 -2.79999e-06     -0.00134341 0.000173933      0.008198 -0.00909997
2255 -1.98879e-06 -3.05668e-06     -0.0013226 0.000402122      0.00825792 -0.0088928
2256 -1.89003e-06 -3.30318e-06     -0.00123736 0.00062497      0.00837681 -0.00869458
2257 -1.75083e-06 -3.52753e-06     -0.0010934 0.000820187      0.00854763 -0.00852548
2258 -1.57831e-06 -3.71966e-06     -0.000904323 0.000970111      0.00875641 -0.00840085
2259 -1.38228e-06 -3.87264e-06     -0.000688548 0.00106427      0.00898527 -0.008329
2260 -1.17383e-06 -3.98324e-06     -0.00046562 0.00110007      0.00921593 -0.00831091
2261 -9.63823e-07 -4.05182e-06     -0.000252973 0.00108175      0.00943257 -0.00834141
2262 -7.61854e-07 -4.08171e-06     -6.3895e-05 0.00101813      0.00962356 -0.00841144
2263 -5.75573e-07 -4.07834e-06     9.30134e-05 0.00092009      0.00978179 -0.00851044
2264 -4.10513e-07 -4.04836e-06     0.00021314 0.000798573      0.00990375 -0.00862825
2265 -2.70194e-07 -3.99906e-06     0.000294532 0.000663581      0.00998821 -0.00875583
2266 -1.56313e-07 -3.93791e-06     0.000336686 0.000524235      0.0100349 -0.00888517
2267 -6.88549e-08 -3.87241e-06     0.000340015 0.000389467      0.0100442 -0.00900836
2268 -6.05288e-09 -3.80986e-06     0.000306195 0.000268721      0.0100173 -0.00911691
2269 3.5735e-08 -3.75707e-06     0.000239151 0.000172067      0.00995724 -0.00920144
2270 6.20866e-08 -3.71977e-06     0.000146112 0.000109397      0.00987022 -0.00925245
2271 8.03398e-08 -3.70196e-06     3.81021e-05 8.8821e-05      0.00976597 -0.00926179
2272 9.90661e-08 -3.70519e-06     -7.0598e-05 0.000114737      0.00965747 -0.00922454
2273 1.27197e-07 -3.72807e-06     -0.0001641 0.00018627      0.00955944 -0.0091405
2274 1.72933e-07 -3.76622e-06     -0.000227308 0.000296701      0.00948615 -0.00901483
2275 2.42676e-07 -3.81261e-06     -0.000248397 0.000434196      0.0094491 -0.0088575
2276 3.40204e-07 -3.85841e-06     -0.000220624 0.000583686      0.00945532 -0.00868155
2277 4.66286e-07 -3.89408e-06     -0.000142956 0.000729335      0.00950674 -0.00850083
2278 6.18771e-07 -3.91034e-06     -1.94033e-05 0.00085685      0.00960079 -0.00832792
2279 7.93038e-07 -3.89908e-06     0.000142566 0.00095495      0.00973185 -0.00817273
2280 9.82631e-07 -3.8538e-06     0.000333859 0.0010157      0.009893 -0.00804223
2281 1.17985e-06 -3.76977e-06     0.000545112 0.00103385      0.0100773 -0.00794112
2282 1.37617e-06 -3.64406e-06     0.000767136 0.00100583      0.0102781 -0.00787288
2283 1.56247e-06 -3.47551e-06     0.000990471 0.000928976      0.0104888 -0.0078406
2284 1.72922e-06 -3.26483e-06     0.00120455 0.000801638      0.0107015 -0.00784694
2285 1.86673e-06 -3.01495e-06     0.00139715 0.000624209      0.010907 -0.0078933
2286 1.9657e-06 -2.73126e-06     0.00155487 0.000400609      0.0110942 -0.00797837
2287 2.01801e-06 -2.4217e-06     0.00166465 0.000139484      0.011252 -0.0080969
2288 2.01769e-06 -2.09654e-06     0.00171618 -0.000145651      0.011371 -0.00823935
2289 1.96172e-06 -1.76755e-06     0.00170427 -0.000437746      0.0114458 -0.00839289
2290 1.8505e-06 -1.44687e-06     0.00163024 -0.000718814      0.011476 -0.00854347
2291 1.68773e-06 -1.14579e-06     0.00150174 -0.000973049      0.0114669 -0.00867855
2292 1.4797e-06 -8.73651e-07     0.00133089 -0.0011894      0.0114274 -0.00878929
2293 1.2343e-06 -6.37252e-07     0.00113133 -0.00136268      0.0113678 -0.00887163
2294 9.59842e-07 -4.40875e-07     0.000915315 -0.00149292      0.0112972 -0.00892574
2295 6.64315e-07 -2.86745e-07     0.000691822 -0.00158324      0.0112219 -0.00895427
2296 3.55009e-07 -1.7571e-07     0.000466384 -0.00163726      0.0111457 -0.0089601
2297 3.86291e-08 -1.07788e-07     0.000242514 -0.00165719      0.0110703 -0.00894478
2298 -2.78358e-07 -8.23505e-08     2.39165e-05 -0.00164343      0.010998 -0.0089082
2299 -5.89482e-07 -9.78903e-08     -0.000183683 -0.00159593      0.010933 -0.00884982
2300 -8.88392e-07 -1.51562e-07     -0.000372151 -0.00151651      0.0108815 -0.00877071
2301 -1.16945e-06 -2.38829e-07     -0.000532433 -0.00141113      0.0108506 -0.00867556
2302 -1.42864e-06 -3.53553e-07     -0.000657512 -0.00129085      0.0108454 -0.00857332
2303 -1.66449e-06 -4.88703e-07     -0.00074573 -0.00117055      0.0108665 -0.0084761
