0 -4.4617e-07 -0.0262353     -0.0527746 -0.000952243      -0.053995 -0.0338225
158 -0.0990334 0.205866     -23.475 -32.5375      -23.4669 -32.5794
159 -0.104959 0.201189     -25.1585 -29.1064      -25.1553 -29.1493
160 -0.110154 0.196292     -25.6728 -24.9767      -25.675 -25.0177
161 -0.114528 0.191442     -24.5973 -20.6657      -24.6036 -20.7019
162 -0.118116 0.186967     -21.7718 -16.9235      -21.7794 -16.9528
163 -0.121107 0.183186     -17.4179 -14.589      -17.423 -14.6111
164 -0.123844 0.18034     -12.176 -14.3862      -12.1749 -14.4029
165 -0.126781 0.178509     -7.03078 -16.7107      -7.02096 -16.7255
166 -0.130402 0.177566     -3.127 -21.4695      -3.10829 -21.4872
167 -0.135125 0.177167     -1.51538 -28.0293      -1.48999 -28.054
168 -0.141194 0.176799     -2.89103 -35.2991      -2.86318 -35.3335
169 -0.148622 0.175865     -7.39779 -41.9396      -7.3726 -41.9839
170 -0.157158 0.173798     -14.5572 -46.6515      -14.5393 -46.7033
171 -0.166333 0.170181     -23.3486 -48.4677      -23.3407 -48.5224
172 -0.17554 0.164826     -32.4245 -46.9726      -32.4266 -47.025
173 -0.184155 0.157814     -40.4059 -42.3891      -40.4155 -42.4347
174 -0.191653 0.149467     -46.1811 -35.5106      -46.1939 -35.5468
175 -0.197702 0.140278     -49.1282 -27.5      -49.1391 -27.5269
176 -0.202206 0.130804     -49.2086 -19.6131      -49.2136 -19.633
177 -0.205296 0.121555     -46.9149 -12.9227      -46.9119 -12.9398
178 -0.207277 0.112909     -43.0989 -8.1157      -43.0882 -8.13409
179 -0.208538 0.105063     -38.7367 -5.40531      -38.7203 -5.4283
180 -0.209467 0.0980353     -34.6987 -4.56988      -34.68 -4.59901
181 -0.210376 0.0917005     -31.5845 -5.088      -31.5668 -5.12289
182 -0.211464 0.0858503     -29.6546 -6.3197      -29.6403 -6.35851
183 -0.212809 0.0802578     -28.8591 -7.67737      -28.8489 -7.7176
184 -0.214392 0.0747281     -28.9359 -8.74281      -28.9295 -8.78219
185 -0.216132 0.0691273     -29.537 -9.31112      -29.5329 -9.3482
186 -0.217931 0.063387     -30.3399 -9.3671      -30.3365 -9.40153
187 -0.219699 0.0574925     -31.1181 -9.0192      -31.1139 -9.0515
188 -0.221374 0.051461     -31.7613 -8.42186      -31.7557 -8.45301
189 -0.222921 0.045321     -32.2564 -7.71288      -32.2493 -7.74388
190 -0.224329 0.0390974     -32.6462 -6.97964      -32.638 -7.01116
191 -0.225598 0.0328046     -32.9881 -6.25452      -32.9796 -6.28678
192 -0.226728 0.0264471     -33.3254 -5.53011      -33.317 -5.56299
193 -0.227717 0.0200238     -33.6754 -4.78154      -33.6672 -4.81476
194 -0.228559 0.0135325     -34.0319 -3.98554      -34.024 -4.0188
195 -0.229242 0.00697362     -34.3757 -3.13107      -34.368 -3.16419
196 -0.229756 0.000351723     -34.6854 -2.22154      -34.6778 -2.25443
197 -0.230091 -0.00632499     -34.9455 -1.27131      -34.9379 -1.30397
198 -0.230242 -0.0130463     -35.1508 -0.299706      -35.143 -0.332171
199 -0.230206 -0.019802     -35.3062 0.675242      -35.2982 0.642908
200 -0.229984 -0.0265837     -35.4248 1.64213      -35.4165 1.60982
201 -0.229577 -0.0333859     -35.5222 2.59942      -35.5136 2.56699
202 -0.228987 -0.0402057     -35.6106 3.55549      -35.6019 3.52283
203 -0.228212 -0.0470418     -35.6928 4.52469      -35.6842 4.49176
204 -0.22725 -0.0538926     -35.7602 5.51994      -35.7518 5.48686
205 -0.226094 -0.0607536     -35.795 6.54468      -35.7869 6.51169
206 -0.224739 -0.0676168     -35.7797 7.58817      -35.7717 7.55552
207 -0.223184 -0.0744714     -35.7065 8.6277      -35.6984 8.59551
208 -0.221432 -0.0813071     -35.5852 9.63819      -35.5768 9.60635
209 -0.21949 -0.0881168     -35.4417 10.6053      -35.4326 10.5735
210 -0.217367 -0.0948992     -35.3064 11.5354      -35.2968 11.5032
211 -0.215067 -0.101658     -35.1989 12.4547      -35.1892 12.4218
212 -0.212589 -0.108399     -35.1144 13.3972      -35.1051 13.3637
213 -0.209927 -0.115124     -35.0232 14.3843      -35.0147 14.3507
214 -0.207071 -0.121827     -34.8854 15.4081      -34.8775 15.3751
215 -0.204018 -0.128498     -34.6752 16.4291      -34.6674 16.3971
216 -0.200774 -0.135122     -34.4031 17.3929      -34.3947 17.3619
217 -0.197354 -0.141691     -34.1206 18.261      -34.1108 18.2302
218 -0.193776 -0.148211     -33.9003 19.0386      -33.8891 19.0071
219 -0.190055 -0.154699     -33.7982 19.7832      -33.7865 19.75
220 -0.186186 -0.161179     -33.8164 20.5808      -33.8055 20.5459
221 -0.182155 -0.16767     -33.8905 21.4983      -33.8817 21.4627
222 -0.177935 -0.174173     -33.9173 22.5331      -33.9108 22.4984
223 -0.173513 -0.18067     -33.8163 23.5926      -33.811 23.5607
224 -0.168896 -0.187135     -33.5986 24.5255      -33.5921 24.4968
225 -0.164122 -0.193557     -33.4013 25.2012      -33.3913 25.1745
226 -0.159247 -0.19996     -33.4542 25.6046      -33.4396 25.5769
227 -0.154309 -0.206415     -33.9776 25.8918      -33.9597 25.8594
228 -0.149306 -0.213023     -35.0496 26.356      -35.0325 26.3169
229 -0.144174 -0.21988     -36.5168 27.2924      -36.5058 27.2477
230 -0.138806 -0.22703     -38.0223 28.8032      -38.0214 28.7581
231 -0.13311 -0.234443     -39.1889 30.6402      -39.1984 30.6025
232 -0.127075 -0.242037     -39.9185 32.1965      -39.9327 32.1738
233 -0.120825 -0.249761     -40.6917 32.7297      -40.7 32.7253
234 -0.114608 -0.257726     -42.7019 31.8041      -42.6917 31.8143
235 -0.108682 -0.266326     -47.6755 29.8317      -47.6372 29.8444
236 -0.103114 -0.276299     -57.3222 28.4932      -57.2542 28.4905
237 -0.0975141 -0.288645     -72.5058 30.8002      -72.4178 30.7642
238 -0.0908227 -0.30438     -92.3763 40.6334      -92.2886 40.5528
239 -0.0812252 -0.324146     -113.792 61.7523      -113.731 61.6286
240 -0.066299 -0.347757     -131.341 96.4813      -131.328 96.3307
241 -0.043415 -0.373826     -138.111 144.443      -138.16 144.294
242 -0.0103419 -0.399608     -127.151 201.775      -127.256 201.66
243 0.0340728 -0.421159     -93.2724 261.18      -93.412 261.126
244 0.0893244 -0.433846     -34.7205 312.936      -34.8608 312.954
245 0.152948 -0.433115     45.8087 346.692      45.7042 346.777
246 0.220601 -0.415366     141.156 353.632      141.115 353.757
247 0.286556 -0.378726     240.756 328.411      240.79 328.541
248 0.344496 -0.323532     332.518 270.357      332.617 270.457
249 0.388445 -0.252412     405.013 183.625      405.153 183.671
250 0.413625 -0.169968     449.416 76.3113      449.564 76.2949
251 0.417067 -0.0821377     460.707 -41.1541      460.836 -41.2222
252 0.397883 0.00457128     437.944 -157.824      438.038 -157.923
253 0.357208 0.0838267     383.711 -263.769      383.769 -263.875
254 0.297903 0.150051     303.086 -350.995      303.119 -351.094
255 0.22415 0.198796     202.576 -413.696      202.598 -413.783
256 0.141047 0.226931     89.3605 -448.038      89.3836 -448.121
257 0.0542647 0.232739     -29.0196 -451.839      -28.9954 -451.93
258 -0.0302567 0.21598     -144.665 -424.453      -144.65 -424.562
259 -0.106615 0.177964     -249.309 -367.019      -249.32 -367.144
260 -0.169333 0.121599     -334.614 -282.95      -334.666 -283.075
261 -0.213842 0.0513435     -392.956 -178.381      -393.052 -178.484
262 -0.237019 -0.0270428     -418.621 -62.1894      -418.75 -62.2459
263 -0.237655 -0.10699     -409.102 54.6786      -409.237 54.6851
264 -0.216736 -0.181833     -366.047 160.605      -366.157 160.674
265 -0.177398 -0.245644     -295.454 245.157      -295.509 245.272
266 -0.124513 -0.294011     -206.908 300.947      -206.892 301.075
267 -0.0639688 -0.324581     -111.956 324.956      -111.871 325.062
268 -0.00177103 -0.337243     -22.006 318.937      -21.8722 318.992
269 0.0568255 -0.333893     53.7073 288.767      53.8583 288.756
270 0.107975 -0.317873     109.569 242.927      109.704 242.854
271 0.149558 -0.2932     144.096 190.557      144.189 190.44
272 0.181119 -0.263811     159.471 139.612      159.512 139.48
273 0.20351 -0.232962     160.327 95.5824      160.321 95.4617
274 0.218353 -0.202905     152.203 61.0169      152.166 60.9261
275 0.227493 -0.174859     140.139 35.8494      140.092 35.7946
276 0.232578 -0.149201     127.739 18.2675      127.701 18.2435
277 0.234825 -0.125789     116.868 5.77451      116.849 5.76841
278 0.23498 -0.104272     107.891 -3.90187      107.894 -3.90451
279 0.233421 -0.0843305     100.26 -12.2741      100.279 -12.2843
280 0.230322 -0.0657882     93.1427 -19.9838      93.1693 -20.0064
281 0.225804 -0.0486142     85.9101 -27.0166      85.9352 -27.0505
282 0.220024 -0.0328598     78.3428 -33.0654      78.3614 -33.1054
283 0.213201 -0.0185798     70.5944 -37.86      70.6058 -37.9005
284 0.205586 -0.00577734     63.0026 -41.353      63.0096 -41.3897
285 0.197412 0.00560979     55.8784 -43.7329      55.8847 -43.7647
286 0.188865 0.0156893     49.3699 -45.3183      49.3787 -45.3466
287 0.180065 0.0245786     43.4392 -46.4148      43.4517 -46.4423
288 0.171086 0.0323748     37.9308 -47.212      37.9461 -47.241
289 0.161977 0.0391417     32.6748 -47.7565      32.6912 -47.7881
290 0.152791 0.0449161     27.5703 -47.9952      27.5859 -48.0291
291 0.143595 0.049725     22.6142 -47.8506      22.628 -47.8855
292 0.134467 0.0536027     17.8769 -47.2872      17.8889 -47.3216
293 0.125485 0.0566001     13.4474 -46.3395      13.4586 -46.3725
294 0.116715 0.0587825     9.38247 -45.0983      9.394 -45.1299
295 0.108202 0.0602209     5.68032 -43.6712      5.69294 -43.702
296 0.0999739 0.0609805     2.28824 -42.1409      2.30211 -42.1718
297 0.092046 0.0611136     -0.867636 -40.5416      -0.852921 -40.5732
298 0.0844319 0.0606593     -3.84739 -38.8606      -3.83252 -38.8933
299 0.0771506 0.0596484     -6.67408 -37.0611      -6.6597 -37.0946
300 0.0702284 0.058111     -9.33043 -35.1115      -9.31688 -35.1453
301 0.0636949 0.0560838     -11.7743 -33.0096      -11.7616 -33.0431
302 0.0575766 0.0536116     -13.9646 -30.7906      -13.9523 -30.8233
303 0.0518902 0.0507452     -15.8862 -28.5183      -15.8737 -28.5501
304 0.0466391 0.0475345     -17.5644 -26.2624      -17.5513 -26.2935
305 0.041815 0.0440206     -19.0627 -24.0706      -19.0485 -24.1015
306 0.0374043 0.0402304     -20.4625 -21.9467      -20.4471 -21.9781
307 0.0333975 0.0361758     -21.8316 -19.8451      -21.8155 -19.8778
308 0.0297974 0.0318593     -23.1915 -17.687      -23.1757 -17.7213
309 0.0266223 0.0272857     -24.4999 -15.3997      -24.4857 -15.4354
310 0.0239001 0.022473     -25.6632 -12.9655      -25.6515 -13.0013
311 0.0216537 0.0174587     -26.5843 -10.4601      -26.5753 -10.494
312 0.019882 0.0122935     -27.2402 -8.05412      -27.2326 -8.08424
313 0.018546 0.00701894     -27.7609 -5.95787      -27.752 -5.98302
314 0.017571 0.00163377     -28.4697 -4.30743      -28.4562 -4.32826
315 0.0168745 -0.00394178     -29.8461 -3.01901      -29.825 -3.03845
316 0.0164213 -0.00988435     -32.3881 -1.6641      -32.3583 -1.68692
317 0.0162952 -0.0164509     -36.3886 0.568624      -36.3522 0.537083
318 0.0167653 -0.0239153     -41.6839 4.77022      -41.646 4.72597
319 0.0183176 -0.0324604     -47.461 12.0515      -47.4292 11.9938
320 0.0216242 -0.0420465     -52.2225 23.1671      -52.2042 23.0999
321 0.0274369 -0.052294     -53.9692 38.1221      -53.9695 38.0531
322 0.0364127 -0.0624217     -50.6059 55.8895      -50.6249 55.829
323 0.0489071 -0.07128     -40.491 74.3633      -40.5232 74.3209
324 0.0647857 -0.077492     -22.99 90.6126      -23.0251 90.5941
325 0.0833131 -0.0796882     1.1358 101.419      1.11048 101.424
326 0.103164 -0.0767883     29.6469 103.982      29.6424 104.004
327 0.122572 -0.0682637     59.112 96.6198      59.1346 96.6464
328 0.139596 -0.054312     85.5226 79.257      85.5718 79.2747
329 0.15245 -0.035893     105.093 53.5709      105.162 53.5681
330 0.15982 -0.0146078     115.046 22.7273      115.122 22.6975
331 0.161096 0.0075534     114.178 -9.22605      114.248 -9.28238
332 0.156468 0.0285413     103.075 -38.1556      103.127 -38.2318
333 0.146863 0.0465793     83.9266 -60.6267      83.9557 -60.7121
334 0.133752 0.0604272     60.0223 -74.4924      60.028 -74.5756
335 0.118867 0.0695274     35.0624 -79.1697      35.0497 -79.2415
336 0.103907 0.0740161     12.4674 -75.5786      12.444 -75.6337
337 0.0902709 0.0746135     -5.17153 -65.8085      -5.1975 -65.8459
338 0.0788858 0.0724288     -16.415 -52.6267      -16.437 -52.6486
339 0.0701233 0.0687286     -21.0579 -38.9535      -21.0715 -38.9637
